+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.23
LOG_FILE_VERSION : 1.0.2
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 01/01/2000
SUBJECT_DESCRIPTION : Primeiro dia de teste piloto
DEVICE_ID : 3052
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 7987708
MEMORY_USAGE : 100.00 %
BATTERY_VOLTAGE : 4.23828
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 1
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
FILE_DATE_TIME : 09/05/2022 09:19:51
CONNECTION_SYSTEM_DATE_TIME : 09/05/2022 09:15:07
CONNECTION_DEVICE_DATE_TIME : 09/05/2022 09:15:10
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
03/05/2022 17:42:52;0;0;30.28;28.49;0;33;0.55;2;0.0333333;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:43:52;0;0;30.58;28.84;0;159;2.65;6;0.1;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:44:52;0;0;30.83;29.15;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:45:52;0;0;31.04;29.41;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:46:52;0;0;31.23;29.62;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:47:52;0;0;31.38;29.81;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:48:52;0;0;31.52;29.98;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:49:52;0;0;31.63;30.11;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:50:52;0;0;31.73;30.24;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:51:52;0;0;31.81;30.35;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:52:52;0;0;31.88;30.43;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:53:52;0;0;31.94;30.51;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:54:52;0;0;32.00;30.58;0;3408;56.8;276;4.6;76;1.26667;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:55:52;0;0;32.04;30.62;0;6826;113.767;561;9.35;153;2.55;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:56:52;0;0;32.07;30.62;0;6866;114.433;534;8.9;156;2.6;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:57:52;0;0;32.09;30.65;0;6470;107.833;512;8.53333;133;2.21667;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:58:52;0;0;32.11;30.69;0;6758;112.633;525;8.75;161;2.68333;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 17:59:52;0;0;32.12;30.69;0;6924;115.4;552;9.2;150;2.5;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 18:00:52;0;0;32.14;30.70;0;6972;116.2;551;9.18333;154;2.56667;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 18:01:52;0;0;32.17;30.75;0;6749;112.483;534;8.9;150;2.5;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 18:02:52;0;0;32.20;30.76;0;6866;114.433;550;9.16667;143;2.38333;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 18:03:52;0;0;32.24;30.81;0;6938;115.633;530;8.83333;169;2.81667;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 18:04:52;0;0;32.28;30.86;0;5234;87.2333;431;7.18333;101;1.68333;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 18:05:52;0;0;32.32;30.89;0;29;0.483333;1;0.0166667;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 18:06:52;0;0;32.36;30.95;0;20;0.333333;3;0.05;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
03/05/2022 18:07:52;0;0;32.40;31.01;0;62;1.03333;4;0.0666667;0;0;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
03/05/2022 18:08:52;0;0;32.44;31.07;0;6;0.1;0;0;0;0;0.02;0.01;0.00;0.01;0.01;0.00;0.00;0.00;0
03/05/2022 18:09:52;0;0;32.47;31.13;0;5092;84.8667;262;4.36667;191;3.18333;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
03/05/2022 18:10:52;0;0;32.49;31.17;0;16095;268.25;700;11.6667;672;11.2;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
03/05/2022 18:11:52;0;0;32.46;31.12;0;16107;268.45;718;11.9667;661;11.0167;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
