+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.23
LOG_FILE_VERSION : 1.0.2
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 
SUBJECT_DESCRIPTION : Teste piloto ActTrust
DEVICE_ID : 3052
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 29008
BATTERY_VOLTAGE : 4.23828
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 60
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
FILE_DATE_TIME : 03/07/2022 10:00:37
CONNECTION_SYSTEM_DATE_TIME : 27/06/2022 21:35:03
CONNECTION_DEVICE_DATE_TIME : 27/06/2022 21:40:23
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
27/06/2022 15:19:52;0;0;24.28;24.94;0;4;0.0666667;0;0;0;0;0.30;0.12;0.05;0.05;0.02;0.03;0.00;0.00;0
27/06/2022 15:20:52;0;0;26.10;24.88;0;5442;90.7;345;5.75;160;2.66667;0.35;0.14;0.08;0.04;0.02;0.04;0.00;0.00;0
27/06/2022 15:21:52;0;0;27.84;25.56;0;735;12.25;53;0.883333;10;0.166667;0.01;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0
27/06/2022 15:22:52;0;0;28.74;26.44;0;25;0.416667;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
27/06/2022 15:23:52;0;0;29.40;27.25;0;41;0.683333;5;0.0833333;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
27/06/2022 15:24:52;0;0;29.92;28.00;0;33;0.55;5;0.0833333;0;0;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
27/06/2022 15:25:52;0;0;30.34;28.50;0;224;3.73333;10;0.166667;0;0;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
27/06/2022 15:26:52;0;0;30.72;29.00;0;430;7.16667;32;0.533333;6;0.1;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
27/06/2022 15:27:52;0;0;31.04;29.38;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
27/06/2022 15:28:52;0;0;31.28;29.69;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
27/06/2022 15:29:52;0;0;31.51;29.94;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
27/06/2022 15:30:52;0;0;31.67;30.12;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
27/06/2022 15:31:52;0;0;31.83;30.31;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
27/06/2022 15:32:52;0;0;31.97;30.50;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
27/06/2022 15:33:52;0;0;32.08;30.62;0;0;0;1;0.0166667;0;0;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
27/06/2022 15:34:52;0;0;32.17;30.75;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
27/06/2022 15:35:52;0;0;32.27;30.81;0;4;0.0666667;0;0;0;0;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
27/06/2022 15:36:52;0;0;32.34;30.94;0;79;1.31667;8;0.133333;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
27/06/2022 15:37:52;0;0;32.41;31.00;0;4891;81.5167;428;7.13333;83;1.38333;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
27/06/2022 15:38:52;0;0;32.50;31.12;0;6898;114.967;609;10.15;126;2.1;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
27/06/2022 15:39:52;0;0;32.57;31.25;0;7235;120.583;630;10.5;133;2.21667;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:40:52;0;0;32.67;31.38;0;7248;120.8;620;10.3333;129;2.15;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
27/06/2022 15:41:52;0;0;32.73;31.50;0;7151;119.183;618;10.3;129;2.15;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
27/06/2022 15:42:52;0;0;32.80;31.56;0;7671;127.85;689;11.4833;164;2.73333;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:43:52;0;0;32.85;31.62;0;8444;140.733;677;11.2833;183;3.05;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:44:52;0;0;32.92;31.75;0;7533;125.55;659;10.9833;155;2.58333;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:45:52;0;0;32.99;31.81;0;6986;116.433;619;10.3167;135;2.25;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
27/06/2022 15:46:52;0;0;33.03;31.88;0;7591;126.517;687;11.45;158;2.63333;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:47:52;0;0;33.07;31.94;0;4869;81.15;433;7.21667;103;1.71667;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
27/06/2022 15:48:52;0;0;33.12;32.00;0;361;6.01667;36;0.6;0;0;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
27/06/2022 15:49:52;0;0;33.15;32.00;0;146;2.43333;15;0.25;0;0;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:50:52;0;0;33.18;32.06;0;112;1.86667;7;0.116667;0;0;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
27/06/2022 15:51:52;0;0;33.21;32.12;0;192;3.2;19;0.316667;0;0;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:52:52;0;0;33.24;32.12;0;5029;83.8167;293;4.88333;157;2.61667;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
27/06/2022 15:53:52;0;0;33.27;32.19;0;13535;225.583;692;11.5333;509;8.48333;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:54:52;0;0;33.29;32.19;0;13808;230.133;718;11.9667;525;8.75;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:55:52;0;0;33.34;32.25;0;13950;232.5;722;12.0333;515;8.58333;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:56:52;0;0;33.37;32.25;0;13843;230.717;728;12.1333;508;8.46667;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:57:52;0;0;33.39;32.31;0;13834;230.567;722;12.0333;511;8.51667;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:58:52;0;0;33.43;32.31;0;13912;231.867;717;11.95;525;8.75;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 15:59:52;0;0;33.46;32.38;0;13961;232.683;743;12.3833;528;8.8;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:00:52;0;0;33.49;32.38;0;14141;235.683;732;12.2;530;8.83333;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:01:52;0;0;33.53;32.44;0;14065;234.417;762;12.7;537;8.95;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:02:52;0;0;33.57;32.50;0;11255;187.583;618;10.3;407;6.78333;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:03:52;0;0;33.62;32.50;0;383;6.38333;19;0.316667;0;0;0.04;0.02;0.01;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:04:52;0;0;33.66;32.56;0;166;2.76667;15;0.25;0;0;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:05:52;0;0;33.72;32.69;0;23;0.383333;0;0;0;0;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:06:52;0;0;33.76;32.69;0;244;4.06667;18;0.3;1;0.0166667;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:07:52;0;0;33.79;32.75;0;8057;134.283;276;4.6;311;5.18333;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:08:52;0;0;33.76;32.69;0;36218;603.633;896;14.9333;1420;23.6667;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:09:52;0;0;33.79;32.75;0;36440;607.333;962;16.0333;1405;23.4167;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:10:52;0;0;33.77;32.75;0;36115;601.917;974;16.2333;1398;23.3;0.03;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:11:52;0;0;33.78;32.75;0;35325;588.75;946;15.7667;1402;23.3667;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:12:52;0;0;33.79;32.69;0;35701;595.017;941;15.6833;1456;24.2667;0.06;0.02;0.01;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:13:52;0;0;33.83;32.69;0;35281;588.017;883;14.7167;1386;23.1;0.04;0.02;0.01;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:14:52;0;0;33.86;32.75;0;36809;613.483;916;15.2667;1444;24.0667;0.03;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:15:52;0;0;33.86;32.75;0;37369;622.817;919;15.3167;1436;23.9333;0.12;0.05;0.03;0.02;0.01;0.02;0.00;0.00;0
27/06/2022 16:16:52;0;0;33.85;32.75;0;35935;598.917;815;13.5833;1353;22.55;0.03;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:17:52;0;0;33.83;32.75;0;32471;541.183;808;13.4667;1255;20.9167;0.03;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:18:52;0;0;33.86;32.81;0;1106;18.4333;105;1.75;7;0.116667;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:19:52;0;0;33.91;32.88;0;503;8.38333;41;0.683333;3;0.05;0.02;0.01;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:20:52;0;0;33.99;32.94;0;204;3.4;16;0.266667;2;0.0333333;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
27/06/2022 16:21:52;0;0;34.01;33.00;0;6;0.1;1;0.0166667;0;0;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:22:52;0;0;34.03;33.06;0;2805;46.75;168;2.8;84;1.4;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:23:52;0;0;34.06;33.06;0;40652;677.533;1054;17.5667;1476;24.6;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:24:52;0;0;34.06;33.06;0;39857;664.283;1067;17.7833;1506;25.1;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:25:52;0;0;34.05;33.12;0;41029;683.817;1091;18.1833;1510;25.1667;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:26:52;0;0;34.04;33.06;0;42371;706.183;1114;18.5667;1505;25.0833;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:27:52;0;0;34.01;33.06;0;43076;717.933;1125;18.75;1514;25.2333;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:28:52;0;0;33.98;33.06;0;43765;729.417;1081;18.0167;1529;25.4833;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:29:52;0;0;33.96;33.00;0;44378;739.633;1099;18.3167;1564;26.0667;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:30:52;0;0;33.94;33.00;0;43080;718;1079;17.9833;1540;25.6667;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
27/06/2022 16:31:52;0;0;33.93;33.00;0;43613;726.883;1077;17.95;1555;25.9167;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:32:52;0;0;33.92;32.94;0;43908;731.8;1096;18.2667;1554;25.9;0.01;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
27/06/2022 16:33:52;0;0;33.93;33.00;0;6907;115.117;307;5.11667;222;3.7;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:34:52;0;0;34.01;33.00;0;353;5.88333;27;0.45;4;0.0666667;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:35:52;0;0;34.16;33.06;0;214;3.56667;21;0.35;1;0.0166667;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:36:52;0;0;34.24;33.12;0;73;1.21667;6;0.1;0;0;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:37:52;0;0;34.30;33.19;0;329;5.48333;19;0.316667;1;0.0166667;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:38:52;0;0;34.32;33.19;0;4866;81.1;299;4.98333;48;0.8;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
27/06/2022 16:39:52;0;0;33.60;33.19;0;1143;19.05;80;1.33333;28;0.466667;0.43;0.17;0.11;0.05;0.03;0.06;0.00;0.00;0
