+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.23
LOG_FILE_VERSION : 1.0.2
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 
SUBJECT_DESCRIPTION : Teste piloto ActTrust
DEVICE_ID : 3052
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 842046
BATTERY_VOLTAGE : 4.23828
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 1
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
FILE_DATE_TIME : 15/09/2022 14:16:49
CONNECTION_SYSTEM_DATE_TIME : 04/07/2022 16:47:42
CONNECTION_DEVICE_DATE_TIME : 04/07/2022 16:42:18
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
04/07/2022 13:20:59;0;0;27.50;25.49;0;152;2.53333;13;0.216667;1;0.0166667;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
04/07/2022 13:21:59;0;0;28.10;26.11;0;89;1.48333;6;0.1;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
04/07/2022 13:22:59;0;0;28.56;26.66;0;47;0.783333;3;0.05;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
04/07/2022 13:23:59;0;0;28.93;27.12;0;263;4.38333;27;0.45;4;0.0666667;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
04/07/2022 13:24:59;0;0;29.24;27.51;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
04/07/2022 13:25:59;0;0;29.51;27.86;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
04/07/2022 13:26:59;0;0;29.74;28.14;0;3;0.05;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
04/07/2022 13:27:59;0;0;29.95;28.39;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
04/07/2022 13:28:59;0;0;30.13;28.61;0;18;0.3;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
04/07/2022 13:29:59;0;0;30.29;28.80;0;15;0.25;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0
04/07/2022 13:30:59;0;0;30.44;28.98;0;56;0.933333;7;0.116667;0;0;0.01;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0
