+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.23
LOG_FILE_VERSION : 1.0.2
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 
SUBJECT_DESCRIPTION : Teste Piloto Acttrust
DEVICE_ID : 3020
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 3195542
BATTERY_VOLTAGE : 4.21875
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 1
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
FILE_DATE_TIME : 19/09/2022 15:18:09
CONNECTION_SYSTEM_DATE_TIME : 19/07/2022 20:28:29
CONNECTION_DEVICE_DATE_TIME : 19/07/2022 20:28:29
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
19/07/2022 09:50:02;0;0;22.72;22.66;0;0;0;0;0;0;0;2.06;0.84;0.27;0.41;0.25;0.14;0.00;0.00;0
19/07/2022 09:51:02;0;0;22.65;22.58;0;4;0.0666667;0;0;0;0;2.08;0.84;0.27;0.42;0.25;0.14;0.00;0.00;0
19/07/2022 09:52:02;0;0;23.95;22.63;0;7326;122.1;395;6.58333;214;3.56667;1.43;0.58;0.33;0.17;0.10;0.17;0.00;0.00;0
19/07/2022 09:53:02;0;0;25.54;23.20;0;3693;61.55;193;3.21667;122;2.03333;1.66;0.67;0.41;0.17;0.09;0.21;0.00;0.00;0
19/07/2022 09:54:02;0;0;26.21;23.86;0;1696;28.2667;64;1.06667;59;0.983333;2.10;0.85;0.55;0.21;0.12;0.27;0.00;0.00;0
19/07/2022 09:55:02;0;0;26.62;24.41;0;2138;35.6333;123;2.05;41;0.683333;1.37;0.55;0.34;0.15;0.09;0.17;0.00;0.00;0
19/07/2022 09:56:02;0;0;26.94;24.81;0;5338;88.9667;338;5.63333;138;2.3;1.91;0.77;0.48;0.20;0.11;0.23;0.00;0.00;0
19/07/2022 09:57:02;0;0;27.20;25.12;0;2249;37.4833;174;2.9;32;0.533333;2.09;0.85;0.53;0.21;0.11;0.25;0.00;0.00;0
19/07/2022 09:58:02;0;0;27.44;25.41;0;326;5.43333;14;0.233333;0;0;2.38;0.97;0.63;0.24;0.13;0.29;0.00;0.00;0
19/07/2022 09:59:02;0;0;27.65;25.66;0;1716;28.6;93;1.55;15;0.25;2.35;0.95;0.58;0.25;0.14;0.27;0.00;0.00;0
