+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.23
LOG_FILE_VERSION : 1.0.2
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 01/01/2000
SUBJECT_DESCRIPTION : Teste piloto ActTrust
DEVICE_ID : 3052
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 2163353
MEMORY_USAGE : 27.08 %
BATTERY_VOLTAGE : 4.23828
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 1
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
FILE_DATE_TIME : 25/07/2022 22:30:04
CONNECTION_SYSTEM_DATE_TIME : 25/07/2022 22:28:41
CONNECTION_DEVICE_DATE_TIME : 25/07/2022 22:28:40
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
25/07/2022 13:45:03;0;0;22.40;22.56;0;0;0;0;0;0;0;1.50;0.61;0.24;0.26;0.15;0.12;0.00;0.00;0
25/07/2022 13:46:03;0;0;22.37;22.51;0;0;0;0;0;0;0;1.51;0.61;0.24;0.26;0.15;0.12;0.00;0.00;0
25/07/2022 13:47:03;0;0;22.33;22.50;0;534;8.9;34;0.566667;15;0.25;1.33;0.54;0.19;0.25;0.15;0.10;0.00;0.00;0
25/07/2022 13:48:03;0;0;23.29;22.56;0;4672;77.8667;298;4.96667;130;2.16667;0.80;0.32;0.15;0.12;0.07;0.08;0.00;0.00;0
25/07/2022 13:49:03;0;0;25.70;23.23;0;787;13.1167;73;1.21667;8;0.133333;1.68;0.68;0.25;0.31;0.18;0.13;0.00;0.00;0
25/07/2022 13:50:03;0;0;26.89;24.22;0;415;6.91667;24;0.4;0;0;0.52;0.21;0.11;0.07;0.04;0.06;0.00;0.00;0
25/07/2022 13:51:03;0;0;27.69;25.12;0;63;1.05;1;0.0166667;0;0;0.32;0.13;0.08;0.04;0.03;0.05;0.00;0.00;0
25/07/2022 13:52:03;0;0;28.30;25.86;0;50;0.833333;2;0.0333333;0;0;1.16;0.47;0.17;0.22;0.12;0.10;0.00;0.00;0
25/07/2022 13:53:03;0;0;28.78;26.48;0;0;0;0;0;0;0;1.17;0.47;0.19;0.21;0.11;0.11;0.00;0.00;0
25/07/2022 13:54:03;0;0;29.16;26.98;0;0;0;0;0;0;0;1.13;0.46;0.18;0.20;0.11;0.10;0.00;0.00;0
25/07/2022 13:55:03;0;0;29.46;27.39;0;0;0;0;0;0;0;1.04;0.42;0.15;0.20;0.11;0.08;0.00;0.00;0
25/07/2022 13:56:03;0;0;29.73;27.74;0;0;0;0;0;0;0;1.00;0.41;0.14;0.20;0.11;0.08;0.00;0.00;0
25/07/2022 13:57:03;0;0;29.95;28.03;0;0;0;0;0;0;0;0.98;0.40;0.14;0.19;0.11;0.08;0.00;0.00;0
25/07/2022 13:58:03;0;0;30.14;28.28;0;0;0;0;0;0;0;1.01;0.41;0.15;0.20;0.11;0.08;0.00;0.00;0
25/07/2022 13:59:03;0;0;30.31;28.51;0;28;0.466667;2;0.0333333;0;0;1.11;0.45;0.16;0.22;0.12;0.09;0.00;0.00;0
25/07/2022 14:00:03;0;0;30.46;28.70;0;0;0;0;0;0;0;1.23;0.50;0.16;0.25;0.15;0.09;0.00;0.00;0
25/07/2022 14:01:03;0;0;30.59;28.88;0;0;0;0;0;0;0;1.33;0.54;0.19;0.26;0.15;0.11;0.00;0.00;0
25/07/2022 14:02:03;0;0;30.72;29.03;0;0;0;0;0;0;0;1.42;0.58;0.21;0.27;0.15;0.11;0.00;0.00;0
25/07/2022 14:03:03;0;0;30.82;29.19;0;10;0.166667;0;0;0;0;1.22;0.50;0.17;0.24;0.14;0.09;0.00;0.00;0
25/07/2022 14:04:03;0;0;30.91;29.32;0;4132;68.8667;332;5.53333;110;1.83333;0.76;0.31;0.15;0.11;0.06;0.07;0.00;0.00;0
25/07/2022 14:05:03;0;0;30.96;29.43;0;7476;124.6;596;9.93333;240;4;0.64;0.26;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:06:03;0;0;31.02;29.52;0;7497;124.95;607;10.1167;242;4.03333;0.65;0.26;0.15;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:07:03;0;0;31.06;29.59;0;7552;125.867;572;9.53333;241;4.01667;0.64;0.26;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:08:03;0;0;31.10;29.64;0;7551;125.85;589;9.81667;235;3.91667;0.62;0.25;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:09:03;0;0;31.13;29.69;0;7689;128.15;575;9.58333;244;4.06667;0.63;0.26;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:10:03;0;0;31.14;29.70;0;7781;129.683;574;9.56667;258;4.3;0.64;0.26;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:11:03;0;0;31.14;29.72;0;7686;128.1;545;9.08333;234;3.9;0.64;0.26;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:12:03;0;0;31.14;29.72;0;7976;132.933;593;9.88333;256;4.26667;0.64;0.26;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:13:03;0;0;31.13;29.71;0;8104;135.067;594;9.9;247;4.11667;0.63;0.26;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:14:03;0;0;31.12;29.69;0;6287;104.783;459;7.65;182;3.03333;0.64;0.26;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:15:03;0;0;31.09;29.69;0;284;4.73333;20;0.333333;0;0;0.54;0.22;0.12;0.07;0.03;0.06;0.00;0.00;0
25/07/2022 14:16:03;0;0;31.07;29.66;0;293;4.88333;32;0.533333;0;0;0.57;0.23;0.12;0.07;0.04;0.06;0.00;0.00;0
25/07/2022 14:17:03;0;0;31.04;29.62;0;32;0.533333;3;0.05;0;0;0.58;0.23;0.13;0.07;0.04;0.06;0.00;0.00;0
25/07/2022 14:18:03;0;0;30.99;29.59;0;241;4.01667;19;0.316667;1;0.0166667;0.60;0.24;0.13;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:19:03;0;0;30.97;29.56;0;1406;23.4333;89;1.48333;38;0.633333;0.63;0.26;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:20:03;0;0;30.95;29.51;0;15791;263.183;670;11.1667;636;10.6;0.60;0.24;0.13;0.07;0.04;0.06;0.00;0.00;0
25/07/2022 14:21:03;0;0;30.91;29.50;0;16332;272.2;700;11.6667;722;12.0333;0.58;0.23;0.13;0.07;0.04;0.06;0.00;0.00;0
25/07/2022 14:22:03;0;0;30.88;29.46;0;16592;276.533;721;12.0167;718;11.9667;0.60;0.24;0.13;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:23:03;0;0;30.86;29.44;0;17080;284.667;731;12.1833;788;13.1333;0.61;0.25;0.13;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:24:03;0;0;30.86;29.44;0;16865;281.083;732;12.2;741;12.35;0.61;0.25;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:25:03;0;0;30.87;29.44;0;17159;285.983;725;12.0833;768;12.8;0.62;0.25;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:26:03;0;0;30.89;29.44;0;17252;287.533;740;12.3333;779;12.9833;0.61;0.25;0.13;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:27:03;0;0;30.92;29.47;0;16877;281.283;709;11.8167;778;12.9667;0.61;0.25;0.13;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:28:03;0;0;30.95;29.50;0;17162;286.033;729;12.15;805;13.4167;0.61;0.25;0.13;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:29:03;0;0;31.00;29.53;0;17275;287.917;737;12.2833;760;12.6667;0.61;0.25;0.13;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:30:03;0;0;31.03;29.56;0;1694;28.2333;93;1.55;51;0.85;0.58;0.24;0.13;0.07;0.04;0.06;0.00;0.00;0
25/07/2022 14:31:03;0;0;31.06;29.61;0;131;2.18333;10;0.166667;0;0;0.64;0.26;0.14;0.09;0.04;0.06;0.00;0.00;0
25/07/2022 14:32:03;0;0;31.11;29.65;0;374;6.23333;34;0.566667;0;0;0.64;0.26;0.13;0.09;0.04;0.06;0.00;0.00;0
25/07/2022 14:33:03;0;0;31.15;29.70;0;73;1.21667;6;0.1;0;0;0.62;0.25;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:34:03;0;0;31.21;29.76;0;126;2.1;9;0.15;0;0;0.66;0.27;0.13;0.09;0.04;0.06;0.00;0.00;0
25/07/2022 14:35:03;0;0;31.26;29.81;0;38850;647.5;929;15.4833;1345;22.4167;0.55;0.22;0.12;0.07;0.04;0.06;0.00;0.00;0
25/07/2022 14:36:03;0;0;31.24;29.80;0;43153;719.217;1003;16.7167;1516;25.2667;0.61;0.25;0.13;0.09;0.04;0.06;0.00;0.00;0
25/07/2022 14:37:03;0;0;31.19;29.74;0;43284;721.4;954;15.9;1523;25.3833;0.64;0.26;0.13;0.09;0.04;0.06;0.00;0.00;0
25/07/2022 14:38:03;0;0;31.14;29.67;0;42618;710.3;983;16.3833;1485;24.75;0.69;0.28;0.14;0.10;0.04;0.06;0.00;0.00;0
25/07/2022 14:39:03;0;0;31.10;29.59;0;43018;716.967;968;16.1333;1503;25.05;0.67;0.27;0.13;0.10;0.04;0.06;0.00;0.00;0
25/07/2022 14:40:03;0;0;31.05;29.53;0;43380;723;963;16.05;1497;24.95;0.71;0.29;0.14;0.10;0.05;0.06;0.00;0.00;0
25/07/2022 14:41:03;0;0;31.00;29.47;0;43931;732.183;1003;16.7167;1518;25.3;0.68;0.28;0.14;0.10;0.04;0.06;0.00;0.00;0
25/07/2022 14:42:03;0;0;30.94;29.39;0;43388;723.133;993;16.55;1500;25;0.67;0.27;0.14;0.10;0.04;0.06;0.00;0.00;0
25/07/2022 14:43:03;0;0;30.88;29.33;0;43770;729.5;982;16.3667;1526;25.4333;0.69;0.28;0.14;0.10;0.04;0.06;0.00;0.00;0
25/07/2022 14:44:03;0;0;30.84;29.26;0;44494;741.567;998;16.6333;1529;25.4833;0.67;0.27;0.14;0.10;0.04;0.06;0.00;0.00;0
25/07/2022 14:45:03;0;0;30.81;29.19;0;9689;161.483;319;5.31667;324;5.4;0.61;0.25;0.13;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:46:03;0;0;30.87;29.21;0;377;6.28333;34;0.566667;0;0;0.58;0.24;0.13;0.07;0.04;0.06;0.00;0.00;0
25/07/2022 14:47:03;0;0;30.91;29.25;0;176;2.93333;11;0.183333;0;0;0.60;0.24;0.13;0.07;0.04;0.06;0.00;0.00;0
25/07/2022 14:48:03;0;0;30.88;29.30;0;60;1;4;0.0666667;0;0;0.61;0.25;0.14;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:49:03;0;0;30.87;29.31;0;331;5.51667;22;0.366667;0;0;0.59;0.24;0.13;0.08;0.04;0.06;0.00;0.00;0
25/07/2022 14:50:03;0;0;30.85;29.31;0;44068;734.467;1013;16.8833;1425;23.75;0.63;0.26;0.13;0.09;0.04;0.06;0.00;0.00;0
25/07/2022 14:51:03;0;0;30.78;29.24;0;48058;800.967;1036;17.2667;1557;25.95;0.70;0.29;0.14;0.11;0.05;0.06;0.00;0.00;0
25/07/2022 14:52:03;0;0;30.70;29.12;0;48197;803.283;1008;16.8;1538;25.6333;0.70;0.28;0.14;0.11;0.04;0.06;0.00;0.00;0
25/07/2022 14:53:03;0;0;30.61;29.01;0;47492;791.533;978;16.3;1518;25.3;0.70;0.28;0.14;0.11;0.04;0.06;0.00;0.00;0
25/07/2022 14:54:03;0;0;30.54;28.90;0;47514;791.9;992;16.5333;1520;25.3333;0.74;0.30;0.14;0.11;0.05;0.06;0.00;0.00;0
25/07/2022 14:55:03;0;0;30.47;28.80;0;47835;797.25;999;16.65;1540;25.6667;0.73;0.30;0.14;0.11;0.05;0.06;0.00;0.00;0
25/07/2022 14:56:03;0;0;30.41;28.72;0;47218;786.967;1020;17;1520;25.3333;0.71;0.29;0.14;0.11;0.04;0.06;0.00;0.00;0
25/07/2022 14:57:03;0;0;30.38;28.64;0;47838;797.3;1032;17.2;1574;26.2333;0.64;0.26;0.13;0.09;0.04;0.06;0.00;0.00;0
25/07/2022 14:58:03;0;0;30.36;28.59;0;47858;797.633;1033;17.2167;1567;26.1167;0.65;0.26;0.13;0.09;0.04;0.06;0.00;0.00;0
25/07/2022 14:59:03;0;0;30.37;28.56;0;47540;792.333;1023;17.05;1569;26.15;0.65;0.26;0.13;0.09;0.04;0.06;0.00;0.00;0
25/07/2022 15:00:03;0;0;30.39;28.56;0;17720;295.333;516;8.6;567;9.45;0.59;0.24;0.11;0.09;0.05;0.06;0.00;0.00;0
25/07/2022 15:01:03;0;0;30.48;28.58;0;8;0.133333;0;0;0;0;0.50;0.20;0.07;0.09;0.06;0.05;0.00;0.00;0
