+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.23
LOG_FILE_VERSION : 1.0.2
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 01/01/2000
SUBJECT_DESCRIPTION : Teste piloto ActTrust
DEVICE_ID : 3052
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 2906683
MEMORY_USAGE : 36.39 %
BATTERY_VOLTAGE : 4.23828
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 1
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
FILE_DATE_TIME : 18/10/2022 20:46:09
CONNECTION_SYSTEM_DATE_TIME : 18/10/2022 20:38:50
CONNECTION_DEVICE_DATE_TIME : 18/10/2022 20:38:50
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
18/10/2022 14:55:25;0;0;27.47;26.98;0;2605;43.4167;234;3.9;51;0.85;0.11;0.04;0.03;0.02;0.01;0.01;0.00;0.00;0
18/10/2022 14:56:25;0;0;28.74;27.51;0;2294;38.2333;221;3.68333;32;0.533333;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
18/10/2022 14:57:25;0;0;29.38;28.18;0;1841;30.6833;142;2.36667;33;0.55;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0
18/10/2022 14:58:25;0;0;29.95;28.77;0;73;1.21667;2;0.0333333;0;0;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 14:59:25;0;0;30.41;29.29;0;241;4.01667;16;0.266667;0;0;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:00:25;0;0;30.79;29.72;0;23;0.383333;0;0;0;0;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:01:25;0;0;31.11;30.08;0;409;6.81667;31;0.516667;2;0.0333333;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:02:25;0;0;31.36;30.38;0;969;16.15;81;1.35;3;0.05;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:03:25;0;0;31.58;30.63;0;88;1.46667;6;0.1;0;0;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:04:25;0;0;31.77;30.84;0;25;0.416667;0;0;0;0;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:05:25;0;0;31.94;31.03;0;117;1.95;7;0.116667;2;0.0333333;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:06:25;0;0;32.11;31.21;0;11;0.183333;1;0.0166667;0;0;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:07:25;0;0;32.27;31.39;0;5;0.0833333;0;0;0;0;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:08:25;0;0;32.42;31.56;0;5;0.0833333;0;0;0;0;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:09:25;0;0;32.56;31.73;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:10:25;0;0;32.70;31.89;0;3;0.05;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:11:25;0;0;32.82;32.05;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:12:25;0;0;32.93;32.20;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:13:25;0;0;33.01;32.32;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:14:25;0;0;33.09;32.43;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:15:25;0;0;33.16;32.52;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:16:25;0;0;33.20;32.60;0;2763;46.05;234;3.9;43;0.716667;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:17:25;0;0;33.10;32.64;0;7418;123.633;668;11.1333;164;2.73333;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:18:25;0;0;33.00;32.63;0;7359;122.65;652;10.8667;157;2.61667;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:19:25;0;0;32.94;32.62;0;7477;124.617;660;11;157;2.61667;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:20:25;0;0;32.89;32.59;0;7643;127.383;707;11.7833;170;2.83333;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:21:25;0;0;32.86;32.56;0;7266;121.1;664;11.0667;144;2.4;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:22:25;0;0;32.84;32.56;0;7121;118.683;622;10.3667;146;2.43333;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:23:25;0;0;32.83;32.56;0;6590;109.833;621;10.35;109;1.81667;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:24:25;0;0;32.82;32.56;0;6235;103.917;554;9.23333;96;1.6;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:25:25;0;0;32.81;32.55;0;6712;111.867;583;9.71667;114;1.9;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:26:25;0;0;32.80;32.55;0;5930;98.8333;528;8.8;116;1.93333;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:27:25;0;0;32.81;32.56;0;62;1.03333;2;0.0333333;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:28:25;0;0;32.86;32.56;0;50;0.833333;3;0.05;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:29:25;0;0;32.88;32.56;0;87;1.45;3;0.05;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:30:25;0;0;32.92;32.60;0;319;5.31667;26;0.433333;0;0;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:31:25;0;0;32.93;32.62;0;1340;22.3333;97;1.61667;25;0.416667;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:32:25;0;0;32.91;32.62;0;12752;212.533;726;12.1;476;7.93333;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:33:25;0;0;32.88;32.62;0;12816;213.6;730;12.1667;498;8.3;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
18/10/2022 15:34:25;0;0;32.84;32.62;0;12522;208.7;718;11.9667;469;7.81667;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0
