------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.13.4 Firmware v1.9.2 date format dd/MM/yyyy Filter Normal -----------
Serial Number: MOS2E22180147
Start Time 12:30:00
Start Date 17/10/2022
Epoch Period (hh:mm:ss) 00:01:00
Download Time 21:06:12
Download Date 17/10/2022
Current Memory Address: 0
Current Battery Voltage: 4,18     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
17/10/2022,12:30:00,"0","0","0","0","0","0","60","0","0","0"
17/10/2022,12:31:00,"0","0","0","0","0","0","60","0","0","0"
17/10/2022,12:32:00,"0","0","0","0","0","0","60","0","0","0"
17/10/2022,12:33:00,"0","0","0","0","0","0","60","0","0","0"
17/10/2022,12:34:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:35:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:36:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:37:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:38:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:39:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:40:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:41:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:42:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:43:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:44:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:45:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:46:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:47:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:48:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:49:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:50:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:51:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:52:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:53:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:54:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:55:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:56:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:57:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:58:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,12:59:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:00:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:01:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:02:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:03:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:04:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:05:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:06:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:07:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:08:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:09:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:10:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:11:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:12:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:13:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:14:00,"24","7","101","1","0","0","60","0","0","104,05"
17/10/2022,13:15:00,"0","0","0","0","0","0","60","0","0","0"
17/10/2022,13:16:00,"0","0","0","0","0","0","60","0","0","0"
17/10/2022,13:17:00,"0","0","0","0","0","0","60","0","0","0"
17/10/2022,13:18:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:19:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:20:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:21:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:22:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:23:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:24:00,"0","0","0","0","0","60","0","0","0","0"
17/10/2022,13:25:00,"0","3","0","0","0","0","60","0","0","3"
17/10/2022,13:26:00,"1934","2239","2386","12","0","0","60","0","0","3800,85"
17/10/2022,13:27:00,"3650","2402","3369","18","0","0","60","0","0","5517,45"
17/10/2022,13:28:00,"693","1059","988","7","0","0","60","0","0","1605,58"
17/10/2022,13:29:00,"1234","1795","1120","9","0","0","60","0","0","2449,32"
17/10/2022,13:30:00,"81","324","1068","1","0","0","0","0","60","1119"
17/10/2022,13:31:00,"10","236","1078","1","0","0","0","1","59","1103,58"
17/10/2022,13:32:00,"829","1070","945","7","0","0","60","0","0","1650,81"
17/10/2022,13:33:00,"1231","1169","603","5","0","0","60","0","0","1801,54"
17/10/2022,13:34:00,"2728","1523","1336","6","0","0","60","0","0","3398"
17/10/2022,13:35:00,"1574","1271","1202","9","0","0","60","0","0","2353,24"
17/10/2022,13:36:00,"0","8","41","0","0","0","0","0","60","41,77"
17/10/2022,13:37:00,"0","0","0","0","0","0","0","0","60","0"
17/10/2022,13:38:00,"0","0","0","0","0","0","0","0","60","0"
17/10/2022,13:39:00,"0","0","82","0","0","0","0","0","60","82"
17/10/2022,13:40:00,"0","0","10","0","0","0","0","0","60","10"
17/10/2022,13:41:00,"0","0","0","0","0","0","0","0","60","0"
17/10/2022,13:42:00,"0","0","0","0","0","0","0","0","60","0"
17/10/2022,13:43:00,"0","0","0","0","0","0","0","0","60","0"
17/10/2022,13:44:00,"0","0","0","0","0","0","0","0","60","0"
17/10/2022,13:45:00,"0","0","0","0","0","0","0","0","60","0"
17/10/2022,13:46:00,"0","0","0","0","0","0","0","0","60","0"
17/10/2022,13:47:00,"0","0","0","0","0","0","0","0","60","0"
17/10/2022,13:48:00,"475","365","334","2","0","0","60","0","0","685,86"
17/10/2022,13:49:00,"1037","352","1072","46","0","0","60","0","0","1532,47"
17/10/2022,13:50:00,"1688","437","1472","88","0","0","60","0","0","2281,91"
17/10/2022,13:51:00,"2170","464","1605","85","0","0","60","0","0","2738,65"
17/10/2022,13:52:00,"1874","483","1592","82","0","0","60","0","0","2505,92"
17/10/2022,13:53:00,"1860","381","1570","87","0","0","60","0","0","2463,67"
17/10/2022,13:54:00,"1971","456","1584","87","0","0","60","0","0","2569,4"
